CustomerID,SnapshotDate,churn_label,churn_probability,risk_bucket,dynamic_threshold,churn_flag,expected_loss,action_flag_top15,total_revenue,total_orders,recency_days,tenure_days,segment,RFM_Score,value_tier,priority,action,offer_type,message_angle,budget_suggestion
16300,2011-12-31,,0.9492139826236572,High,0.7,1,1321.7140258246588,0,1392.43,3,451,245,At Risk,8,High Value,P1,Win-back (1:1 outreach),Personalized discount (10–15%),We miss you + tailored picks,80.0
16306,2011-12-31,,0.8271413703112608,High,0.7,1,986.630769334678,0,1192.82,7,234,221,At Risk,9,Mid Value,P2,Reactivation campaign,Free shipping / limited-time voucher,Limited-time comeback offer,48.56
16305,2011-12-31,,0.7587114352379472,Medium,0.5,1,274.06174463665127,0,361.22,1,159,0,Promising,6,Low Value,P3,Second-purchase nudge,Small voucher (5–10%),Complete your set / popular add-ons,11.96
16304,2011-12-31,,0.9647208829491714,High,0.7,1,368.1953721863808,0,381.66,1,715,0,Lost,4,Low Value,P3,Reactivation campaign,Free shipping / limited-time voucher,Limited-time comeback offer,13.58
16303,2011-12-31,,0.3979894271043879,Low,0.3,1,3155.367635228906,1,7928.27,7,46,605,Champions,13,High Value,P1,Win-back (priority queue),Personalized voucher (10%),Exclusive comeback: curated bestsellers,342.21
16302,2011-12-31,,0.8218029773317079,High,0.5,1,191.66089037330093,0,233.22,1,147,0,Promising,5,Low Value,P3,Second-purchase nudge,Small voucher (5–10%),Complete your set / popular add-ons,10.0
16307,2011-12-31,,0.9341979671331624,High,0.7,1,1116.2918348867586,0,1194.92,3,450,147,At Risk,7,Mid Value,P2,Reactivation campaign,Free shipping / limited-time voucher,Limited-time comeback offer,50.49
16301,2011-12-31,,0.9641653580040356,High,0.7,1,103.48386787457314,0,107.33,1,757,0,Lost,3,Low Value,P3,Reactivation campaign,Free shipping / limited-time voucher,Limited-time comeback offer,10.0
16299,2011-12-31,,0.9627483379899642,High,0.7,1,186.43621565175656,0,193.65,1,498,0,Lost,3,Low Value,P3,Reactivation campaign,Free shipping / limited-time voucher,Limited-time comeback offer,10.0
16295,2011-12-31,,0.241644425348547,Low,0.3,0,321.0367012968122,0,1328.55,4,30,54,Champions,13,High Value,P4,Growth nurture,Content / recommendations,New arrivals + personalized recommendations,80.0
16297,2011-12-31,,0.6914289132486338,Medium,0.7,0,208.74238890976252,0,301.9,1,289,0,About To Sleep,5,Low Value,P4,Cross-sell / upsell,Bundle offer,Recommended bundles based on your history,10.0
16296,2011-12-31,,0.9380330930201868,High,0.7,1,1232.2659333078286,0,1313.67,4,647,95,At Risk,9,High Value,P1,Win-back (1:1 outreach),Personalized discount (10–15%),We miss you + tailored picks,80.0
16294,2011-12-31,,0.949647045933786,High,0.7,1,119.70301013995372,0,126.05,1,497,0,Lost,3,Low Value,P3,Reactivation campaign,Free shipping / limited-time voucher,Limited-time comeback offer,10.0
16293,2011-12-31,,0.094825255124771,Low,0.3,0,441.6912971084273,0,4657.95,15,42,707,Champions,14,High Value,P4,Growth nurture,Content / recommendations,New arrivals + personalized recommendations,80.0
16290,2011-12-31,,0.953318836478918,High,0.7,1,1972.7026683258252,1,2069.3,4,485,101,At Risk,9,High Value,P1,Win-back (1:1 outreach),Personalized discount (10–15%),We miss you + tailored picks,110.0
16292,2011-12-31,,0.7730566107628459,Medium,0.5,1,969.2274563100256,0,1253.76,5,142,482,Needs Attention,11,High Value,P1,Win-back (priority queue),Personalized voucher (10%),Exclusive comeback: curated bestsellers,80.0
16291,2011-12-31,,0.94708370445925,High,0.7,1,111.49069368894293,0,117.72,1,703,0,Lost,3,Low Value,P3,Reactivation campaign,Free shipping / limited-time voucher,Limited-time comeback offer,10.0
16308,2011-12-31,,0.2736012425636746,Low,0.3,0,1400.8383619260142,0,5120.0,7,58,686,Champions,13,High Value,P4,Growth nurture,Content / recommendations,New arrivals + personalized recommendations,83.81
16298,2011-12-31,,0.626928550911557,Medium,0.3,1,680.6563277246775,0,1085.7,7,43,419,Loyal,11,Mid Value,P1,Win-back (priority queue),Personalized voucher (10%),Exclusive comeback: curated bestsellers,51.34
16309,2011-12-31,,0.644581230977956,Medium,0.5,1,455.4417603720945,0,706.57,2,127,134,Promising,8,Mid Value,P2,Re-engagement email,Small voucher (5–10%),New arrivals + reminder,26.91
16330,2011-12-31,,0.4559897708736996,Low,0.3,1,289.24799135831387,0,634.33,7,38,644,Loyal,12,Mid Value,P1,Win-back (priority queue),Personalized voucher (10%),Exclusive comeback: curated bestsellers,28.04
16311,2011-12-31,,0.3787749751542801,Low,0.5,0,233.42386618857668,0,616.26,2,38,31,Potential Loyalist,9,Mid Value,P4,Growth nurture,Content / recommendations,New arrivals + personalized recommendations,25.0
16289,2011-12-31,,0.951329510867107,High,0.7,1,129.67572562629536,0,136.31,1,483,0,Lost,3,Low Value,P3,Reactivation campaign,Free shipping / limited-time voucher,Limited-time comeback offer,10.0
16329,2011-12-31,,0.956253364519356,High,0.7,1,1628.5664175119794,1,1703.07,4,448,311,At Risk,9,High Value,P1,Win-back (1:1 outreach),Personalized discount (10–15%),We miss you + tailored picks,90.62
16328,2011-12-31,,0.9620777801744568,High,0.7,1,299.04263641162635,0,310.83,1,584,0,Lost,4,Low Value,P3,Reactivation campaign,Free shipping / limited-time voucher,Limited-time comeback offer,11.05
16327,2011-12-31,,0.2596696347910754,Low,0.3,0,2786.6031386188597,1,10731.34,16,35,711,Champions,15,High Value,P4,Growth nurture,Content / recommendations,New arrivals + personalized recommendations,174.59
16326,2011-12-31,,0.1206343875327906,Low,0.3,0,582.3009822769052,0,4826.99,24,26,674,Champions,15,High Value,P4,Growth nurture,Content / recommendations,New arrivals + personalized recommendations,80.0
16325,2011-12-31,,0.6335929433690347,Medium,0.3,1,2279.3506137701024,1,3597.5,12,67,688,Champions,14,High Value,P1,Win-back (priority queue),Personalized voucher (10%),Exclusive comeback: curated bestsellers,170.54
16324,2011-12-31,,0.5712627609334434,Medium,0.5,1,244.88892035694852,0,428.68,3,149,48,Needs Attention,8,Mid Value,P2,Re-engagement email,Small voucher (5–10%),New arrivals + reminder,25.0
16323,2011-12-31,,0.831475650396044,High,0.7,1,294.05967851906496,0,353.66,2,217,381,About To Sleep,6,Low Value,P3,Reactivation campaign,Free shipping / limited-time voucher,Limited-time comeback offer,12.02
16322,2011-12-31,,0.4485776955303729,Low,0.5,0,146.57276201454934,0,326.75,2,22,35,Potential Loyalist,9,Low Value,P4,Cross-sell / upsell,Bundle offer,Recommended bundles based on your history,10.0
16321,2011-12-31,,0.7162414769426153,Medium,0.5,1,433.00378488565815,0,604.5500000000001,7,93,666,Needs Attention,9,Mid Value,P2,Re-engagement email,Small voucher (5–10%),New arrivals + reminder,25.0
